Model,Workers,Info,Runtime
Hanoi,1,distb,13971980
Hanoi,1,distb,14057930
Hanoi,1,distb,14010271
Hanoi,1,distb,17250663
Hanoi,1,distb,13997359
Hanoi,1,distb,14107043
Hanoi,1,distb,14000051
Hanoi,1,distb,17236657
Hanoi,1,distb,14182270
Hanoi,1,distb,14167952
Hanoi,1,ProB,17245753
Hanoi,1,ProB,17609887
Hanoi,1,ProB,17555386
Hanoi,1,ProB,17452997
Hanoi,1,ProB,17375527
Hanoi,1,ProB,17368848
Hanoi,1,ProB,17416192
Hanoi,1,ProB,17271197
Hanoi,1,ProB,17325742
Hanoi,1,ProB,17383324
Hanoi,10,distb,1569987
Hanoi,10,distb,1612737
Hanoi,10,distb,1441701
Hanoi,10,distb,1532782
Hanoi,10,distb,1474704
Hanoi,10,distb,1474142
Hanoi,10,distb,1475256
Hanoi,10,distb,1417132
Hanoi,10,distb,1419642
Hanoi,10,distb,1518036
Hanoi,20,distb,786726
Hanoi,20,distb,801275
Hanoi,20,distb,770736
Hanoi,20,distb,771089
Hanoi,20,distb,822543
Hanoi,20,distb,795024
Hanoi,20,distb,803309
Hanoi,20,distb,777701
Hanoi,20,distb,801036
Hanoi,20,distb,804206
Hanoi,50,distb,451375
Hanoi,50,distb,452510
Hanoi,50,distb,463133
Hanoi,50,distb,451073
Hanoi,50,distb,463195
Hanoi,50,distb,460906
Hanoi,50,distb,470836
Hanoi,50,distb,463468
Hanoi,50,distb,455453
Hanoi,50,distb,475329
Hanoi,100,distb,942312
Hanoi,100,distb,574836
Hanoi,100,distb,436503
Hanoi,100,distb,456790
Hanoi,100,distb,473417
Hanoi,100,distb,894722
Hanoi,100,distb,693928
Hanoi,100,distb,464773
Hanoi,100,distb,680328
Hanoi,100,distb,720209
Hanoi,150,distb,3380400
Hanoi,150,distb,3884112
Hanoi,150,distb,1913415
Hanoi,150,distb,1916575
Hanoi,150,distb,4349499
Hanoi,150,distb,2173946
Hanoi,150,distb,2387776
Hanoi,150,distb,3752033
Hanoi,150,distb,1868171
Hanoi,150,distb,3589502
MPM,1,distb,2144488
MPM,1,distb,2069467
MPM,1,distb,2121405
MPM,1,distb,2062995
MPM,1,distb,2114856
MPM,1,distb,2060028
MPM,1,distb,2064649
MPM,1,distb,2145064
MPM,1,distb,2151472
MPM,1,distb,2088490
MPM,1,ProB,1166620
MPM,1,ProB,1148718
MPM,1,ProB,1148285
MPM,1,ProB,1147463
MPM,1,ProB,1132093
MPM,1,ProB,1157267
MPM,1,ProB,1149654
MPM,1,ProB,1150291
MPM,1,ProB,1149970
MPM,1,ProB,1154826
MPM,1,-v-Proof,1623113
MPM,1,-v-Proof,1622417
MPM,1,-v-Proof,1609210
MPM,1,-v-Proof,1628730
MPM,1,-v-Proof,1586682
MPM,1,-v-Proof,1621298
MPM,1,-v-Proof,1625124
MPM,1,-v-Proof,1619003
MPM,1,-v-Proof,1606075
MPM,1,-v-Proof,1604395
MPM,5,distb,416651
MPM,5,distb,417268
MPM,5,distb,415819
MPM,5,distb,428934
MPM,5,distb,416380
MPM,5,distb,413021
MPM,5,distb,419138
MPM,5,distb,411270
MPM,5,distb,411562
MPM,5,distb,417063
MPM,10,distb,209259
MPM,10,distb,209065
MPM,10,distb,208987
MPM,10,distb,210276
