Model,Workers,Info,Runtime
CAN_BUS_tlc,1,distb,63620
CAN_BUS_tlc,1,distb,63220
CAN_BUS_tlc,1,distb,64200
CAN_BUS_tlc,1,distb,64330
CAN_BUS_tlc,1,distb,65140
CAN_BUS_tlc,1,distb,63320
CAN_BUS_tlc,1,distb,63780
CAN_BUS_tlc,1,distb,63770
CAN_BUS_tlc,1,distb,66010
CAN_BUS_tlc,1,distb,67340
CAN_BUS_tlc,2,distb,33690
CAN_BUS_tlc,2,distb,33860
CAN_BUS_tlc,2,distb,33510
CAN_BUS_tlc,2,distb,33090
CAN_BUS_tlc,2,distb,33540
CAN_BUS_tlc,2,distb,33750
CAN_BUS_tlc,2,distb,33500
CAN_BUS_tlc,2,distb,32860
CAN_BUS_tlc,2,distb,34110
CAN_BUS_tlc,2,distb,33490
CAN_BUS_tlc,3,distb,24370
CAN_BUS_tlc,3,distb,24260
CAN_BUS_tlc,3,distb,24580
CAN_BUS_tlc,3,distb,24330
CAN_BUS_tlc,3,distb,24940
CAN_BUS_tlc,3,distb,24880
CAN_BUS_tlc,3,distb,24240
CAN_BUS_tlc,3,distb,24460
CAN_BUS_tlc,3,distb,24720
CAN_BUS_tlc,3,distb,24230
CAN_BUS_tlc,4,distb,23340
CAN_BUS_tlc,4,distb,21680
CAN_BUS_tlc,4,distb,22010
CAN_BUS_tlc,4,distb,22530
CAN_BUS_tlc,4,distb,22200
CAN_BUS_tlc,4,distb,23270
CAN_BUS_tlc,4,distb,22810
CAN_BUS_tlc,4,distb,22170
CAN_BUS_tlc,4,distb,22860
CAN_BUS_tlc,4,distb,21540
CAN_BUS_tlc,5,distb,21670
CAN_BUS_tlc,5,distb,21760
CAN_BUS_tlc,5,distb,21080
CAN_BUS_tlc,5,distb,21780
CAN_BUS_tlc,5,distb,21880
CAN_BUS_tlc,5,distb,22480
CAN_BUS_tlc,5,distb,21390
CAN_BUS_tlc,5,distb,22240
CAN_BUS_tlc,5,distb,21700
CAN_BUS_tlc,5,distb,21800
CAN_BUS_tlc,6,distb,21130
CAN_BUS_tlc,6,distb,20510
CAN_BUS_tlc,6,distb,21140
CAN_BUS_tlc,6,distb,20980
CAN_BUS_tlc,6,distb,20530
CAN_BUS_tlc,6,distb,20730
CAN_BUS_tlc,6,distb,21290
CAN_BUS_tlc,6,distb,21240
CAN_BUS_tlc,6,distb,21230
CAN_BUS_tlc,6,distb,21120
CAN_BUS_tlc,1,ProB,73850
CAN_BUS_tlc,1,ProB,73850
CAN_BUS_tlc,1,ProB,73650
CAN_BUS_tlc,1,ProB,72600
CAN_BUS_tlc,1,ProB,74190
CAN_BUS_tlc,1,ProB,74310
CAN_BUS_tlc,1,ProB,72120
CAN_BUS_tlc,1,ProB,73130
CAN_BUS_tlc,1,ProB,74190
CAN_BUS_tlc,1,ProB,73130
Hanoi10d,1,distb,38080
Hanoi10d,1,distb,38150
Hanoi10d,1,distb,38430
Hanoi10d,1,distb,37700
Hanoi10d,1,distb,38310
Hanoi10d,1,distb,38540
Hanoi10d,1,distb,38060
Hanoi10d,1,distb,39070
Hanoi10d,1,distb,37980
Hanoi10d,1,distb,37810
Hanoi10d,2,distb,19740
Hanoi10d,2,distb,19540
Hanoi10d,2,distb,19830
Hanoi10d,2,distb,19790
Hanoi10d,2,distb,19880
Hanoi10d,2,distb,19480
Hanoi10d,2,distb,19750
Hanoi10d,2,distb,19450
Hanoi10d,2,distb,19630
Hanoi10d,2,distb,19780
Hanoi10d,3,distb,14910
Hanoi10d,3,distb,14780
Hanoi10d,3,distb,14710
Hanoi10d,3,distb,14560
Hanoi10d,3,distb,14570
Hanoi10d,3,distb,14630
Hanoi10d,3,distb,14570
Hanoi10d,3,distb,14550
Hanoi10d,3,distb,14780
Hanoi10d,3,distb,14600
Hanoi10d,4,distb,13680
Hanoi10d,4,distb,14170
Hanoi10d,4,distb,14120
Hanoi10d,4,distb,13810
